difference	ionIdx	index diff	log2(FC)	p-value	adj p-value (BH)	pFDR (Storey)	q-value (Storey)	m/z	hmdb_id	kegg_id	other_id	name	mz difference	formula	ion	annotation score
META vegan:META ctrl	176	176	0,499222611	0,003148124	0,015422271	0,00631631	0,00631631	173,0810521	"HMDB0000893; HMDB0002023; HMDB0033838; HMDB0041606; HMDB0059727; HMDB0059757; HMDB0060684; HMDB00837; HMDB00893; HMDB02023; HMDB33838; HMDB41606; HMDB59727; HMDB59757; HMDB60684"	"C08278; C14570; C16658"	"CHEBI:80644; CHEBI:89933; CHEBI:9300"	Suberic acid	0,000879821	C8H14O4	-H(-)	100
META vegan:META ctrl	177	177	1,314516877	0,00921667	0,034493287	0,014126992	0,014126992	173,0932306	"HMDB0003357; HMDB0028854; HMDB0029127; HMDB0034365; HMDB0062764; HMDB0094702; HMDB03357; HMDB06489; HMDB28854; HMDB29127; HMDB34365; HMDB62764; HMDB94702"	"C00437; C01047"	"CHEBI:16543; CHEBI:17394"	Acetylornithine	-6,53314E-05	C7H14N2O3	-H(-)	100
META vegan:META ctrl	178	178	0,359311726	0,000552115	0,003613405	0,00148255	0,001479898	173,1037355	"HMDB0000517; HMDB0003416; HMDB00517; HMDB03416"	"C00062; C00792"	"CHEBI:15816; CHEBI:16467"	Arginine	0,000663231	C6H14N4O2	-H(-)	100
META vegan:META ctrl	179	179	0,001437825	0,988478501	0,994179069	0,40717372	0,40717372	174,088235	"HMDB0000904; HMDB0003148; HMDB00904; HMDB03148"	C00327	CHEBI:16349	Citrulline	0,000179326	C6H13N3O3	-H(-)	100
META vegan:META ctrl	180	180	0,256942481	0,31497138	0,476831673	0,195290096	0,195290096	175,0247241	"HMDB0000044; HMDB00044; HMDB0006355; HMDB0031193; HMDB06355; HMDB14273; HMDB29945; HMDB31193"	"C00072; C02670; C19806"	"CHEBI:17208; CHEBI:18268; CHEBI:45969"	"Hexuronic acid; Ascorbate"	8,69896E-05	C6H8O6	-H(-)	100
META vegan:META ctrl	181	181	-0,115243146	0,119952821	0,244406641	0,100326163	0,100098629	176,0691789	"HMDB0012271; HMDB12271"			O-Ureidohomoserine	-0,001500034	C5H11N3O4	-H(-)	45
META vegan:META ctrl	182	182	0,064574967	0,320656973	0,483759308	0,198127363	0,198127363	177,0547631	"HMDB0002040; HMDB0030903; HMDB0031055; HMDB0033248; HMDB0038712; HMDB0038965; HMDB0039471; HMDB0062273; HMDB0062729; HMDB0125103; HMDB0125518; HMDB0131168; HMDB0133457; HMDB0133611; HMDB0133612; HMDB0133613; HMDB0133614; HMDB0133615; HMDB0134055; HMDB0135647; HMDB0135649; HMDB0135650; HMDB0135651; HMDB0141076; HMDB0141077; HMDB0141078; HMDB0141782; HMDB02040; HMDB30903; HMDB31055; HMDB33248; HMDB38712; HMDB38965; HMDB39471; HMDB62273; HMDB62729"	C14784	"CHEBI:260249; CHEBI:34048; CHEBI:84260"	4-Methoxycinnamic acid	0,000954226	C10H10O3	-H(-)	100
META vegan:META ctrl	183	183	0,014786403	0,710190908	0,806362594	0,330252031	0,330252031	177,0916459	"HMDB0002043; HMDB0031250; HMDB0031864; HMDB0033376; HMDB0033386; HMDB0033597; HMDB0035013; HMDB0036235; HMDB0036385; HMDB0037680; HMDB0037708; HMDB0038179; HMDB0040287; HMDB0040356; HMDB0040411; HMDB0040425; HMDB0040426; HMDB0040583; HMDB0040800; HMDB0041553; HMDB0126149; HMDB0126449; HMDB0132981; HMDB0133181; HMDB0133469; HMDB0133682; HMDB0133683; HMDB0133684; HMDB0133685; HMDB0133686; HMDB0133687; HMDB02043; HMDB31250; HMDB31864; HMDB33376; HMDB33386; HMDB33597; HMDB35013; HMDB36235; HMDB36385; HMDB37680; HMDB37708; HMDB38179; HMDB40287; HMDB40356; HMDB40411; HMDB40425; HMDB40426; HMDB40583; HMDB40800; HMDB41553"	"C10454; C10478; C17663"	"CHEBI:40131; CHEBI:4918; CHEBI:50550; CHEBI:81257; CHEBI:87500"	5-Phenylvaleric acid	0,000456835	C11H14O2	-H(-)	100
META vegan:META ctrl	184	184	-1,04246293	0,007699262	0,029972126	0,012275316	0,012275316	178,0511175	"HMDB0000714; HMDB0000992; HMDB0012884; HMDB0032398; HMDB0032595; HMDB00714; HMDB00992; HMDB12884; HMDB32398; HMDB32595"	"C01586; C19569"	"CHEBI:18089; CHEBI:66951; CHEBI:838058"	Hippurate	-0,000151242	C9H9NO3	-H(-)	100
META vegan:META ctrl	185	185	-0,041074698	0,632773615	0,758369313	0,310846199	0,310596013	179,0556448	"HMDB0000122; HMDB0000143; HMDB0000169; HMDB0000211; HMDB0000346; HMDB0000516; HMDB0000660; HMDB0001151; HMDB0001266; HMDB0003345; HMDB0003418; HMDB0003449; HMDB0006088; HMDB00122; HMDB0012326; HMDB00143; HMDB00160; HMDB00169; HMDB00211; HMDB0032222; HMDB0033704; HMDB0034220; HMDB00346; HMDB00516; HMDB0061922; HMDB0062138; HMDB0062170; HMDB0062202; HMDB0062473; HMDB0062538; HMDB00660; HMDB01151; HMDB0125599; HMDB01266; HMDB02256; HMDB0240207; HMDB0240208; HMDB0240209; HMDB0240210; HMDB0240211; HMDB03340; HMDB03345; HMDB03418; HMDB03449; HMDB05762; HMDB06088; HMDB06564; HMDB12326; HMDB32222; HMDB33704; HMDB34220; HMDB61922; HMDB62138; HMDB62170; HMDB62202; HMDB62473; HMDB62538"	"C00031; C00137; C00159; C00221; C00247; C00267; C00738; C00795; C00962; C00984; C01487; C01825; C02336; C06150; C06151; C06152; C06153; C10906; C15923"	"CHEBI:10295; CHEBI:10642; CHEBI:15903; CHEBI:17268; CHEBI:17925; CHEBI:22357; CHEBI:23311; CHEBI:23927; CHEBI:25492; CHEBI:27372; CHEBI:27374; CHEBI:27667; CHEBI:27987; CHEBI:28061; CHEBI:28645; CHEBI:37619; CHEBI:37675; CHEBI:37704; CHEBI:37741; CHEBI:37744; CHEBI:40656; CHEBI:4167; CHEBI:4208; CHEBI:47693; CHEBI:48095"	Hexose	0,000466287	C6H12O6	-H(-)	100
META vegan:META ctrl	186	186	0,019402295	0,67514517	0,782881101	0,320635005	0,320635005	180,0657557	"HMDB0000158; HMDB0001119; HMDB0002184; HMDB0003831; HMDB0006050; HMDB00158; HMDB0059720; HMDB0060280; HMDB00647; HMDB01119; HMDB02184; HMDB03831; HMDB06050; HMDB59720; HMDB60280"	"C00082; C04368; C19579"	"CHEBI:16939; CHEBI:17895; CHEBI:278475; CHEBI:44303"	Tyrosine	0,000860551	C9H11NO3	-H(-)	100
META vegan:META ctrl	187	187	0,081088144	0,11099175	0,2332164	0,095515579	0,095515579	181,0504741	"HMDB0000118; HMDB0000333; HMDB0000423; HMDB0000755; HMDB0002643; HMDB0004061; HMDB00118; HMDB0029232; HMDB0029273; HMDB0029646; HMDB00333; HMDB0033624; HMDB0037274; HMDB0041270; HMDB00423; HMDB0059763; HMDB0062595; HMDB00755; HMDB0124923; HMDB0125533; HMDB0125591; HMDB0125595; HMDB0126386; HMDB0127495; HMDB0129348; HMDB0131428; HMDB0133494; HMDB0133788; HMDB0134042; HMDB0134043; HMDB0140294; HMDB0140892; HMDB02643; HMDB04061; HMDB04285; HMDB06776; HMDB29232; HMDB29273; HMDB29646; HMDB33624; HMDB37274; HMDB41270; HMDB59763; HMDB62595"	"C03672; C05582; C05583; C10447; C10680"	"CHEBI:17385; CHEBI:296881; CHEBI:48400; CHEBI:545935; CHEBI:545959; CHEBI:562351; CHEBI:78336; CHEBI:823536; CHEBI:86369"	Homovanillic acid	0,00015784	C9H10O4	-H(-)	100
META vegan:META ctrl	188	188	0,077056981	0,896258233	0,947317792	0,387981322	0,387981322	181,9913406	"HMDB0029723; HMDB29723"	C12283	CHEBI:32111	Saccharin	0,000396399	C7H5NO3S	-H(-)	100
META vegan:META ctrl	189	189	1,23886686	0,001494982	0,008465094	0,003466944	0,003466944	182,0454679	"HMDB0000017; HMDB00017"	C00847	CHEBI:17405	4-Pyridoxate	0,000412958	C8H9NO4	-H(-)	100
META vegan:META ctrl	190	190	0,386493321	0,007019078	0,027695187	0,011342778	0,011342778	182,0707159	"HMDB0033141; HMDB33141"	C19186		2-Amino-a-carboline	0,001654623	C11H9N3	-H(-)	35
META vegan:META ctrl	191	191	0,433431344	0,001790664	0,009945601	0,004073298	0,004073298	183,0484016	"HMDB0032401; HMDB32401"			(+/-)-3-[(2-methyl-3-furyl)thio]-2-butanone	0,000121791	C9H12O2S	-H(-)	100
META vegan:META ctrl	192	192	0,092968986	0,268102384	0,424292703	0,173772355	0,173772355	183,0672073	"HMDB0001490; HMDB0035056; HMDB0036072; HMDB0039650; HMDB0040603; HMDB0059730; HMDB0125593; HMDB0125597; HMDB0126618; HMDB0126619; HMDB0126620; HMDB0131233; HMDB01490; HMDB02909; HMDB06775; HMDB35056; HMDB36072; HMDB39650; HMDB40603; HMDB59730"	C05594	"CHEBI:125412; CHEBI:846276; CHEBI:89913"	7-Methyl-2-hydroxy-6-oxoocta-2,4-dienoate	-0,00092536	C9H12O4	-H(-)	100
META vegan:META ctrl	192	192	0,092968986	0,268102384	0,424292703	0,173772355	0,173772355	183,0672073	"HMDB0001565; HMDB00284; HMDB01565"	C00588	CHEBI:18132	Choline-P	-0,00061486	C5H15NO4P	-H(-)	100
META vegan:META ctrl	192	192	0,092968986	0,268102384	0,424292703	0,173772355	0,173772355	183,0672073	"HMDB0029748; HMDB29748"	C19245		2-Aminodipyrido[1,2-a:3'',2''-d]imidazole	0,00041224	C10H8N4	-H(-)	100
